Id,PID,MS SubClass,Lot Frontage,Lot Area,Lot Shape,Utilities,Land Slope,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Electrical,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,zoning_C,zoning_FV,zoning_I,zoning_RH,zoning_RL,zoning_RM,street_Pave,land_countour_HLS,land_countour_Low,land_countour_Lvl,lot_conf_CulDSac,lot_conf_FR2,lot_conf_FR3,lot_conf_Inside,neigh_Blueste,neigh_BrDale,neigh_BrkSide,neigh_ClearCr,neigh_CollgCr,neigh_Crawfor,neigh_Edwards,neigh_Gilbert,neigh_Greens,neigh_GrnHill,neigh_IDOTRR,neigh_Landmrk,neigh_MeadowV,neigh_Mitchel,neigh_NAmes,neigh_NPkVill,neigh_NWAmes,neigh_NoRidge,neigh_NridgHt,neigh_OldTown,neigh_SWISU,neigh_Sawyer,neigh_SawyerW,neigh_Somerst,neigh_StoneBr,neigh_Timber,neigh_Veenker,cond1_Feedr,cond1_Norm,cond1_PosA,cond1_PosN,cond1_RRAe,cond1_RRAn,cond1_RRNe,cond1_RRNn,cond2_Feedr,cond2_Norm,cond2_PosA,cond2_PosN,cond2_RRAe,cond2_RRAn,cond2_RRNn,bldg_type_2fmCon,bldg_type_Duplex,bldg_type_Twnhs,bldg_type_TwnhsE,hse_style_1.5Unf,hse_style_1Story,hse_style_2.5Fin,hse_style_2.5Unf,hse_style_2Story,hse_style_SFoyer,hse_style_SLvl,rf_style_Gable,rf_style_Gambrel,rf_style_Hip,rf_style_Mansard,rf_style_Shed,rf_mat_Membran,rf_mat_Metal,rf_mat_Roll,rf_mat_Tar&Grv,rf_mat_WdShake,rf_mat_WdShngl,ext1st_AsphShn,ext1st_BrkComm,ext1st_BrkFace,ext1st_CBlock,ext1st_CemntBd,ext1st_HdBoard,ext1st_ImStucc,ext1st_MetalSd,ext1st_Plywood,ext1st_PreCast,ext1st_Stone,ext1st_Stucco,ext1st_VinylSd,ext1st_Wd Sdng,ext1st_WdShing,ext2nd_AsphShn,ext2nd_Brk Cmn,ext2nd_BrkFace,ext2nd_CBlock,ext2nd_CmentBd,ext2nd_HdBoard,ext2nd_ImStucc,ext2nd_MetalSd,ext2nd_Other,ext2nd_Plywood,ext2nd_PreCast,ext2nd_Stone,ext2nd_Stucco,ext2nd_VinylSd,ext2nd_Wd Sdng,ext2nd_Wd Shng,mas_vnr_type_BrkFace,mas_vnr_type_CBlock,mas_vnr_type_NA,mas_vnr_type_None,mas_vnr_type_Stone,found_CBlock,found_PConc,found_Slab,found_Stone,found_Wood,heat_GasA,heat_GasW,heat_Grav,heat_OthW,heat_Wall,ctrl_air_Y,gar_type_Attchd,gar_type_Basment,gar_type_BuiltIn,gar_type_CarPort,gar_type_Detchd,gar_type_NA,sale_type_CWD,sale_type_Con,sale_type_ConLD,sale_type_ConLI,sale_type_ConLw,sale_type_New,sale_type_Oth,sale_type_VWD,sale_type_WD ,New_Gar_Feat,New_Bsmt_Feat,New_Ovr_Kit_Feat,Exter Qual,1st Flr SF,New_Gar_Feat^2,New_Gar_Feat New_Bsmt_Feat,New_Gar_Feat New_Ovr_Kit_Feat,New_Gar_Feat Exter Qual,New_Gar_Feat 1st Flr SF,New_Bsmt_Feat^2,New_Bsmt_Feat New_Ovr_Kit_Feat,New_Bsmt_Feat Exter Qual,New_Bsmt_Feat 1st Flr SF,New_Ovr_Kit_Feat^2,New_Ovr_Kit_Feat Exter Qual,New_Ovr_Kit_Feat 1st Flr SF,Exter Qual^2,Exter Qual 1st Flr SF,1st Flr SF^2,SalePrice
109,533352170,60,0.0,13517,2,3,2,6,8,1976,2005,289.0,3,3,3,0,6,533.0,1,0.0,192.0,725.0,5,4,754,0,1479,0.0,0.0,2,1,3,1,4,6,7,0,0,1976.0,2,2.0,475.0,3,3,2,0,44,0,0,0,0,0,3,2010,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2850.0,4350.0,26622.0,4.0,725.0,8122500.0,12397500.0,75872700.0,11400.0,2066250.0,18922500.0,115805700.0,17400.0,3153750.0,708730884.0,106488.0,19300950.0,16.0,2900.0,525625.0,130500
544,531379050,60,43.0,11492,2,3,2,7,5,1996,1997,132.0,3,4,3,0,6,637.0,1,0.0,276.0,913.0,5,4,1209,0,2122,1.0,0.0,2,1,4,1,4,8,7,1,3,1997.0,2,2.0,559.0,3,3,2,0,74,0,0,0,0,0,4,2009,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3354.0,6391.0,33952.0,4.0,913.0,11249316.0,21435414.0,113875008.0,13416.0,3062202.0,40844881.0,216987232.0,25564.0,5834983.0,1152738304.0,135808.0,30998176.0,16.0,3652.0,833569.0,220000
153,535304180,20,68.0,7922,3,3,2,5,7,1953,2007,0.0,4,3,3,0,6,731.0,1,0.0,326.0,1057.0,3,4,0,0,1057,1.0,0.0,1,0,3,1,4,5,7,0,0,1953.0,1,1.0,246.0,3,3,2,0,52,0,0,0,0,0,1,2010,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1476.0,6342.0,16912.0,3.0,1057.0,2178576.0,9360792.0,24962112.0,4428.0,1560132.0,40220964.0,107255904.0,19026.0,6703494.0,286015744.0,50736.0,17875984.0,9.0,3171.0,1117249.0,109000
318,916386060,60,73.0,9802,3,3,2,5,5,2006,2007,0.0,3,4,3,0,1,0.0,1,0.0,384.0,384.0,4,4,700,0,1444,0.0,0.0,2,1,3,1,3,7,7,0,0,2007.0,3,2.0,400.0,3,3,2,100,0,0,0,0,0,0,4,2010,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2400.0,2688.0,18772.0,3.0,744.0,5760000.0,6451200.0,45052800.0,7200.0,1785600.0,7225344.0,50459136.0,8064.0,1999872.0,352387984.0,56316.0,13966368.0,9.0,2232.0,553536.0,174000
255,906425045,50,82.0,14235,2,3,2,6,8,1900,1993,0.0,3,2,4,0,1,0.0,1,0.0,676.0,676.0,3,4,614,0,1445,0.0,0.0,2,0,3,1,3,6,7,0,0,1957.0,1,2.0,484.0,3,3,0,0,59,0,0,0,0,0,3,2010,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2904.0,4056.0,24565.0,3.0,831.0,8433216.0,11778624.0,71336760.0,8712.0,2413224.0,16451136.0,99635640.0,12168.0,3370536.0,603439225.0,73695.0,20413515.0,9.0,2493.0,690561.0,138500
138,535126040,20,137.0,16492,2,3,2,6,6,1966,2002,0.0,3,3,3,0,5,247.0,3,713.0,557.0,1517.0,5,4,0,0,1888,0.0,0.0,2,1,2,1,4,6,4,1,4,1966.0,3,2.0,578.0,3,3,2,0,0,0,0,0,0,0,6,2010,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3468.0,9102.0,30208.0,4.0,1888.0,12027024.0,31565736.0,104761344.0,13872.0,6547584.0,82846404.0,274953216.0,36408.0,17184576.0,912523264.0,120832.0,57032704.0,16.0,7552.0,3564544.0,190000
2827,908186070,180,35.0,3675,3,3,2,6,5,2005,2006,82.0,3,4,3,4,6,547.0,1,0.0,0.0,547.0,4,4,0,0,1072,1.0,0.0,2,0,2,1,3,5,7,0,0,2005.0,3,2.0,525.0,3,3,2,0,44,0,0,0,0,0,6,2006,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3150.0,3829.0,15008.0,3.0,1072.0,9922500.0,12061350.0,47275200.0,9450.0,3376800.0,14661241.0,57465632.0,11487.0,4104688.0,225240064.0,45024.0,16088576.0,9.0,3216.0,1149184.0,140000
145,535154050,20,0.0,12160,2,3,2,5,5,1959,1959,180.0,3,3,3,0,3,1000.0,1,0.0,188.0,1188.0,2,4,0,0,1188,1.0,0.0,1,0,3,1,3,6,7,0,0,1959.0,2,2.0,531.0,3,3,2,0,0,0,0,0,0,0,5,2010,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3186.0,7128.0,15444.0,3.0,1188.0,10150596.0,22709808.0,49204584.0,9558.0,3784968.0,50808384.0,110084832.0,21384.0,8468064.0,238517136.0,46332.0,18347472.0,9.0,3564.0,1411344.0,142000
1942,535353130,20,0.0,15783,3,3,2,5,5,1952,1952,0.0,3,3,3,0,3,292.0,1,0.0,632.0,924.0,3,4,0,0,924,0.0,0.0,1,0,2,1,3,6,7,0,0,1952.0,1,1.0,420.0,3,3,2,0,324,0,0,0,0,400,6,2007,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2520.0,5544.0,12012.0,3.0,924.0,6350400.0,13970880.0,30270240.0,7560.0,2328480.0,30735936.0,66594528.0,16632.0,5122656.0,144288144.0,36036.0,11099088.0,9.0,2772.0,853776.0,112500
1956,535426130,60,70.0,11606,2,3,1,5,5,1969,1969,192.0,3,4,3,2,3,650.0,1,0.0,390.0,1040.0,3,4,1040,0,2080,0.0,1.0,1,2,5,1,2,9,7,2,3,1969.0,1,2.0,504.0,3,3,2,335,0,0,0,0,0,0,9,2007,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3024.0,7280.0,24960.0,3.0,1040.0,9144576.0,22014720.0,75479040.0,9072.0,3144960.0,52998400.0,181708800.0,21840.0,7571200.0,623001600.0,74880.0,25958400.0,9.0,3120.0,1081600.0,135000
